code3,country,region,year,visa_free_count
SLV,El Salvador,AMERICAS,2021,133.0
SLV,El Salvador,AMERICAS,2022,134.0
SMR,San Marino,EUROPE,2020,168.0
SMR,San Marino,EUROPE,2021,169.0
SMR,San Marino,EUROPE,2022,169.0
SOM,Somalia,AFRICA,2020,33.0
SOM,Somalia,AFRICA,2021,34.0
SOM,Somalia,AFRICA,2022,34.0
SRB,Serbia,EUROPE,2020,134.0
SRB,Serbia,EUROPE,2021,135.0
SRB,Serbia,EUROPE,2022,135.0
SSD,South Sudan,AFRICA,2020,43.0
SSD,South Sudan,AFRICA,2021,44.0
SSD,South Sudan,AFRICA,2022,44.0
STP,Sao Tome and Principe,AFRICA,2020,61.0
STP,Sao Tome and Principe,AFRICA,2021,60.0
STP,Sao Tome and Principe,AFRICA,2022,60.0
SUR,Suriname,AMERICAS,2020,78.0
SUR,Suriname,AMERICAS,2021,77.0
SUR,Suriname,AMERICAS,2022,77.0
SVK,Slovakia,EUROPE,2020,181.0
SVK,Slovakia,EUROPE,2021,182.0
SVK,Slovakia,EUROPE,2022,182.0
SVN,Slovenia,EUROPE,2020,180.0
SVN,Slovenia,EUROPE,2021,181.0
SVN,Slovenia,EUROPE,2022,181.0
SWE,Sweden,EUROPE,2020,186.0
SWE,Sweden,EUROPE,2021,187.0
SWE,Sweden,EUROPE,2022,188.0
SWZ,eSwatini,AFRICA,2020,74.0
SWZ,eSwatini,AFRICA,2021,74.0
SWZ,eSwatini,AFRICA,2022,74.0
SYC,Seychelles,AFRICA,2020,151.0
SYC,Seychelles,AFRICA,2021,152.0
SYC,Seychelles,AFRICA,2022,152.0
SYR,Syria,MIDDLE EAST,2020,29.0
SYR,Syria,MIDDLE EAST,2021,29.0
SYR,Syria,MIDDLE EAST,2022,29.0
TCD,Chad,AFRICA,2020,53.0
TCD,Chad,AFRICA,2021,53.0
TCD,Chad,AFRICA,2022,53.0
TGO,Togo,AFRICA,2020,55.0
TGO,Togo,AFRICA,2021,54.0
TGO,Togo,AFRICA,2022,54.0
THA,Thailand,ASIA,2020,79.0
THA,Thailand,ASIA,2021,79.0
THA,Thailand,ASIA,2022,79.0
TJK,Tajikistan,ASIA,2020,58.0
TJK,Tajikistan,ASIA,2021,58.0
TJK,Tajikistan,ASIA,2022,59.0
TKM,Turkmenistan,ASIA,2020,53.0
TKM,Turkmenistan,ASIA,2021,52.0
TKM,Turkmenistan,ASIA,2022,52.0
TLS,Timor-Leste,ASIA,2020,95.0
TLS,Timor-Leste,ASIA,2021,93.0
TLS,Timor-Leste,ASIA,2022,93.0
TON,Tonga,OCEANIA,2020,125.0
TON,Tonga,OCEANIA,2021,129.0
TON,Tonga,OCEANIA,2022,129.0
TTO,Trinidad and Tobago,CARIBBEAN,2020,150.0
TTO,Trinidad and Tobago,CARIBBEAN,2021,150.0
TTO,Trinidad and Tobago,CARIBBEAN,2022,150.0
TUN,Tunisia,AFRICA,2020,71.0
TUN,Tunisia,AFRICA,2021,71.0
TUN,Tunisia,AFRICA,2022,71.0
TUR,Türkiye,EUROPE,2020,111.0
TUR,Türkiye,EUROPE,2021,110.0
TUR,Türkiye,EUROPE,2022,110.0
TUV,Tuvalu,OCEANIA,2020,127.0
TUV,Tuvalu,OCEANIA,2021,127.0
TUV,Tuvalu,OCEANIA,2022,127.0
TWN,Taiwan (Chinese Taipei),ASIA,2020,146.0
TWN,Taiwan (Chinese Taipei),ASIA,2021,145.0
TWN,Taiwan (Chinese Taipei),ASIA,2022,145.0
TZA,Tanzania,AFRICA,2020,71.0
TZA,Tanzania,AFRICA,2021,72.0
TZA,Tanzania,AFRICA,2022,72.0
UGA,Uganda,AFRICA,2020,67.0
UGA,Uganda,AFRICA,2021,67.0
UGA,Uganda,AFRICA,2022,67.0
UKR,Ukraine,EUROPE,2020,129.0
UKR,Ukraine,EUROPE,2021,136.0
UKR,Ukraine,EUROPE,2022,141.0
URY,Uruguay,AMERICAS,2020,153.0
URY,Uruguay,AMERICAS,2021,153.0
URY,Uruguay,AMERICAS,2022,153.0
USA,United States,AMERICAS,2020,185.0
USA,United States,AMERICAS,2021,185.0
USA,United States,AMERICAS,2022,186.0
UZB,Uzbekistan,ASIA,2020,57.0
UZB,Uzbekistan,ASIA,2021,56.0
UZB,Uzbekistan,ASIA,2022,57.0
VAT,Vatican City,EUROPE,2020,154.0
VAT,Vatican City,EUROPE,2021,153.0
VAT,Vatican City,EUROPE,2022,153.0
VCT,St. Vincent and the Grenadines,CARIBBEAN,2020,148.0
VCT,St. Vincent and the Grenadines,CARIBBEAN,2021,151.0
VCT,St. Vincent and the Grenadines,CARIBBEAN,2022,151.0
